codice esercizio,PROVINCIA,COMUNE,CATEGORIA,DENOMINAZIONE,name,operator,LOCALITA,FRAZIONE,INDIRIZZO 1,INDIRIZZO 2,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,oh,PERIODO_APERTURA 1,PERIODO_APERTURA 2,PERIODO_APERTURA 3,PERIODO_APERTURA 4,PERIODO_APERTURA 5,PERIODO_APERTURA 6,PERIODO_APERTURA 7,PERIODO_APERTURA 8,lat,lng
70961,GORIZIA,FARRA D ISONZO,Standard,News Home di Brumat Valentina,News Home ,Brumat Valentina,FARRA D ISONZO,-,Via Dante Alighieri,42,34072,+39 340 4960722,+39 340 4960722,,valebrumat@gmail.com,,2,4,1,Mar 01 - Nov 30,Mar 01 - Nov 30,,,,,,,,45.9035763,13.5200072
2379,GORIZIA,FOGLIANO REDIPUGLIA,-,Xweek di Zonca Marco,Xweek ,Zonca Marco,-,FOGLIANO,Via Cau de Soto, 27/12,34070,,+39 348 2868641,,marco@xweek.it,http://www.xweek.it,2,6,1,"Jan 01 - Aug 31, Sep 16 - Dec 31",Jan 01 - Aug 31,Sep 16 - Dec 31,,,,,,,45.8645006,13.4791463
71282,GORIZIA,GORIZIA,Superior,B&B Teuffenbach di Orzan Francesca,B&B Teuffenbach ,Orzan Francesca,-,-,Località Piuma,30,34170,,+39 346 3010870,,villateuffenbach@gmail.com,,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.9624501,13.6150115
38620,GORIZIA,GORIZIA,Superior,Flumen di Katja Klanjscek,Flumen ,Katja Klanjscek,-,-,Via Brigata Cuneo,20,34170,+39 0481 391877,+39 347 1289944,+39 0481 391877,info@bbflumen.it,http://www.bbflumen.it,3,8,3,"Jan 01 - Jan 09, Jan 21 - Jan 29, Feb 04 - Feb 26, Mar 04 - Jul 29, Aug 05 - Dec 11, Dec 16 - Dec 31",Jan 01 - Jan 09,Jan 21 - Jan 29,Feb 04 - Feb 26,Mar 04 - Jul 29,Aug 05 - Dec 11,Dec 16 - Dec 31,,,45.9519228,13.6050519
42441,GORIZIA,GORIZIA,Comfort,B&B Lucia di Nanut Paolo,B&B Lucia ,Nanut Paolo,-,-,Via del San Michele, 300/D,34170,+39 0481 522963,+39 340 3955606,,paolo.nanut@libero.it,,3,6,2,"Jan 01 - Feb 17, Feb 23 - Dec 31",Jan 01 - Feb 17,Feb 23 - Dec 31,,,,,,,45.924344,13.6032534
62820,GORIZIA,GRADISCA D ISONZO,Standard,Casa Josef di  Bordon Ezio,,Bordon Ezio,GRADISCA D ISONZO,-,via Roma,61,34072,,+39 388 5729449,,,,3,6,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8916845,13.4769946
65300,GORIZIA,GRADISCA D ISONZO,Standard,Eggenberg di Gaudiano Furio,Eggenberg ,Gaudiano Furio,GRADISCA D ISONZO,-,Viale Trieste,40,34072,+39 0481 99899,+39 346 3951465,,furiogaudiano@yahoo.it,,2,5,1,"Jan 01 - Jan 31, Mar 01 - Dec 31",Jan 01 - Jan 31,Mar 01 - Dec 31,,,,,,,45.8844544,13.4929655
48960,GORIZIA,GRADISCA D ISONZO,Standard,La Fortezza di Pugliese Assunta,La Fortezza ,Pugliese Assunta,GRADISCA D ISONZO,-,Viale Trieste,27,34072,+39 0481 483236,+39 338 6227497,,assita46@libero.it,,1,2,1,"Jan 03 - Jan 15, Feb 01 - Sep 30, Nov 01 - Dec 31",Jan 03 - Jan 15,Feb 01 - Sep 30,Nov 01 - Dec 31,,,,,,45.8844544,13.4929655
64603,GORIZIA,GRADO,Standard,Al Bon Vento di Galante Brian,Al Bon Vento ,Galante Brian,-,FOSSALON,Via Cittanova,17,34073,,+39 333 1070983,,albonvento@gmail.com,,3,6,1,Mar 21 - Oct 21,Mar 21 - Oct 21,,,,,,,,45.7344919,13.505934
33400,GORIZIA,GRADO,Standard,Alle Conchiglie di Benolich Maria,Alle Conchiglie ,Benolich Maria,FOSSALON,-,Via Isonzo Vecchio,21,34073,+39 0431 88157,+39 339 5393515,+39 0431 88157,,,2,3,1,Apr 01 - Oct 31,Apr 01 - Oct 31,,,,,,,,45.7301304,13.4944051
69100,GORIZIA,GRADO,Standard,Casa di Mirea di Carmine Gianni,Casa di Mirea ,Carmine Gianni,-,-,Via del Tintoretto,13,34073,,+39 339 4326013,,,,4,7,4,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.6800568,13.3846179
72221,GORIZIA,GRADO,Comfort,Al Sol Levante di Zeper Nereo,Al Sol Levante ,Zeper Nereo,FOSSALON,-,Via Verteneglio,7,34073,+39 0431 88169,,,nereozeper@gmail.com,,2,5,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.7291176,13.5290072
67221,GORIZIA,MEDEA,Standard,Bed & Breakfast East Wind di Armone Patrizia,Bed & Breakfast East Wind ,Armone Patrizia,MEDEA,-,Via Scuole,5,,,+39 339 4884613,,,,2,4,1,"Mar 15 - Aug 30, Oct 01 - Dec 31",Mar 15 - Aug 30,Oct 01 - Dec 31,,,,,,,45.9164513,13.4249428
54700,GORIZIA,MONFALCONE,Superior,Gasiso di Argiro  Silvio,,,-,-,Via Sorgente,6,34074,,+39 348 9217017,+39 0,argiro.silvio@libero.it,,3,5,3,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
63841,GORIZIA,MONFALCONE,Standard,Angelo Rossi B & B,,,-,-,Viale San Marco,60,34074,,+39 320 4385525,,b&b@angelorossi.it,,2,3,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8054543,13.533586
72300,GORIZIA,MONFALCONE,Standard,B & B Il Ciliegio di Piazza Laura,B & B Il Ciliegio ,Piazza Laura,-,-,Via Aulo Manlio,41,34074,,+39 340 8320555,,,,2,2,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.7997124,13.5287721
49961,GORIZIA,MONFALCONE,Standard,B & B da Leo di Marchione Christian,B & B da Leo ,Marchione Christian,-,-,Via San Nicolò, 11 P.I^,34074,+39 0481 095770,+39 373 8684850,+39 0481 1990230,christian.marchione@libero.it,http://www.bbdaleo.it,2,3,1,Feb 01 - Nov 30,Feb 01 - Nov 30,,,,,,,,45.8118662,13.5149225
52800,GORIZIA,MONFALCONE,Standard,L Ormeggio di Favretto Laura,L Ormeggio ,Favretto Laura,-,-,Via San Gabriele,2,34074,,+39 320 8538875,,bandb.lormeggio2013@tiscali.it,,4,7,3,"Jan 01 - Feb 15, Mar 01 - May 10, May 20 - Jul 31, Aug 01 - Nov 15, Dec 04 - Dec 31",Jan 01 - Feb 15,Mar 01 - May 10,May 20 - Jul 31,Aug 01 - Nov 15,Dec 04 - Dec 31,,,,45.7967843,13.5296441
54000,GORIZIA,MONFALCONE,Standard,La Casa Piccola  di Maggiore Maurizio,La Casa Piccola  ,Maggiore Maurizio,-,-,Via Trieste,128,34074,+39 0481 484210,+39 348 2700815,,lacasapiccola@libero.it,,2,3,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8060848,13.5124052
55780,GORIZIA,RONCHI DEI LEGIONARI,Superior,B&B Borgo San Vito di Deiuri Ivana,B&B Borgo San Vito ,Deiuri Ivana,-,-,Via San Vito,8,34077,+39 340 2882561,+39 340 2882561,,info.borgosanvito@gmail.com,http://www.borgosanvito.it,1,2,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.814205,13.4923455
57720,GORIZIA,RONCHI DEI LEGIONARI,Standard,Casa Ersilia di  Beltrame Alessio,,Beltrame Alessio,SELZ,-,Via Monte Cosich,62,34077,,+39 334 6060890,,eziodona@gmail.com,,1,2,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8241332,13.5157652
57700,GORIZIA,RONCHI DEI LEGIONARI,Comfort,Villa Wanda,,,-,-,Via delle Loare,9,34077,,+39 0039 347 8950101,,taniapetroni89@gmail.com,,1,2,1,Apr 01 - Dec 31,Apr 01 - Dec 31,,,,,,,,45.8302608,13.4950644
44000,GORIZIA,RONCHI DEI LEGIONARI,-,Villa Anita di Marizza Paolo,Villa Anita ,Marizza Paolo,SOLESCHIANO,-,Piazza San Tommaso, 10/B,34077,+39 0481 475244,,,anita@villanita-guesthouse.it,http://www.villanita-guesthouse.it,2,4,1,"Apr 01 - Sep 30, Oct 15 - Dec 31",Apr 01 - Sep 30,Oct 15 - Dec 31,,,,,,,45.8371597,13.4856157
48920,GORIZIA,SAGRADO,Superior,B & B S. Martino di Fegino Renato,B & B S. Martino ,Fegino Renato,S. Martino del Carso,-,Via Piantella,3,34078,,+39 335 7866921,,renatofegino@alice.it,,2,4,2,"Jan 01 - Jan 15, Mar 01 - Oct 15, Dec 15 - Dec 31",Jan 01 - Jan 15,Mar 01 - Oct 15,Dec 15 - Dec 31,,,,,,45.8713156,13.5389457
61060,GORIZIA,SAGRADO,Standard,Il Pellegrino  di  Cicutto Eduardo,,Cicutto Eduardo,-,-,Via Dante Alighieri,33,34078,,+39 380 6916345,,cicutto3000@gmsil.com,,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.877396,13.4856612
64920,GORIZIA,SAGRADO,Standard,La Fojarola di Leghissa Giada,La Fojarola ,Leghissa Giada,-,SAN MARTINO DEL CARSO,Via Vicenza,23,34078,+39 0481 969812,+39 339 1547412,,giadaleghissa@yahoo.it,,3,6,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8745855,13.5330084
67060,GORIZIA,SAN PIER D ISONZO,Standard,Casa Sofia di Cossar Daniela,Casa Sofia ,Cossar Daniela,-,-,Via Marcon,34,34070,,+39 331 1663606,,,,3,4,3,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
63481,GORIZIA,SAN PIER D ISONZO,Standard,Happy Family di Lai Flavia,Happy Family ,Lai Flavia,-,-,Via San Zanut,80,34070,,+39 329 8583786,,,,4,6,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
64849,GORIZIA,SAVOGNA D ISONZO,Standard,Belvedere di Kovic Igor,Belvedere ,Kovic Igor,-,PECI,Via Verdi,41,,,+39 347 2101375,,igor.kovic65@gmail.com,,3,5,1,Jan 01 - Jan 31,Jan 01 - Jan 31,,,,,,,,,
50162,GORIZIA,SAVOGNA D ISONZO,Comfort,B&B Al Vecchio Glicine di Sambo Edoardo,B&B Al Vecchio Glicine ,Sambo Edoardo,-,GABRIA,Piazza Indipendenza,3,34070,+39 0481 882543,+39 338 7754821,,edysambo@libero.it,,2,4,1,Mar 01 - Oct 31,Mar 01 - Oct 31,,,,,,,,45.886813,13.5815015
48040,GORIZIA,STARANZANO,Standard,Trova Tempo di Stefanetto Lorenza,Trova Tempo ,Stefanetto Lorenza,-,-,Via Grappeta,28,34079,,+39 338 630 5572,+39 0481 483116,lorenzastefanetto@gmail.com,,1,1,1,"Jan 01 - Jan 06, Jan 22 - Sep 07, Sep 22 - Dec 31",Jan 01 - Jan 06,Jan 22 - Sep 07,Sep 22 - Dec 31,,,,,,45.7625892,13.5163845
46740,GORIZIA,TURRIACO,Standard,B & B Isonzo di  Tosorat Graziella,,Tosorat Graziella,-,-,Via San Francesco d'Assisi,5,34070,+39 0481 470364,+39 345 413 7231,+39 0481 470364,info@bbisonzo.it,http://www.bbisonzo.it,4,8,3,"Jan 01 - Jan 08, Mar 01 - Nov 06, Nov 26 - Dec 31",Jan 01 - Jan 08,Mar 01 - Nov 06,Nov 26 - Dec 31,,,,,,,
54200,GORIZIA,TURRIACO,Standard,B & B La Casetta di Bergamasco Tiziano,B & B La Casetta ,Bergamasco Tiziano,-,-,Via San Francesco d'Assisi,7,34070,,+39 342 1952099,,info.bblacasetta@gmail.com,,1,6,1,Jun 10 - Dec 31,Jun 10 - Dec 31,,,,,,,,,
40620,GORIZIA,TURRIACO,Standard,Casa Paschi di Chittaro Caterina,Casa Paschi ,Chittaro Caterina,-,-,Via Marcon,37,34070,+39 0481 767276,+39 347 4612447,,casapaschi@libero.it,http://www.casapaschi.it,3,8,2,Feb 01 - Nov 30,Feb 01 - Nov 30,,,,,,,,,
54980,GORIZIA,VILLESSE,Standard,Da Marina di Marizza Marina,Da Marina ,Marizza Marina,-,-,via Roma,7,34070,,+39 320 5340930,,MARIZZAMARINA@PEC.IT,,2,6,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8597024,13.4379228
64640,PORDENONE,ARBA,Standard,B&B Laurfeld Kaisu,,Laurfeld Kaisu,-,-,Via Umberto I,9,,,+39 345 0233736,,,,1,2,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
39640,PORDENONE,AVIANO,Superior,Casa Piazza di Bonomi Alessandra,Casa Piazza ,Bonomi Alessandra,-,-,Via padre Marco,10,33081,,+39 331 3002725,+39 0434 651158,bbcasapiazza@live.it,http://www.bbcasapiazza.it,3,5,3,"Jan 01 - Jan 06, Jan 16 - Apr 01, Apr 10 - Oct 07, Oct 17 - Dec 31",Jan 01 - Jan 06,Jan 16 - Apr 01,Apr 10 - Oct 07,Oct 17 - Dec 31,,,,,46.06907,12.5889411
53660,PORDENONE,AVIANO,Standard,Al Ridovan di Biasutti Gianluigi,Al Ridovan ,Biasutti Gianluigi,AVIANO,MARSURE,Via Wassermann,38,33081,,+39 348 0341121  e 349 7107990,,info@bbalridovan.it,http://www.bbalridovan.it,3,7,1,"Jan 01 - May 14, Jun 01 - Nov 14, Dec 01 - Dec 31",Jan 01 - May 14,Jun 01 - Nov 14,Dec 01 - Dec 31,,,,,,46.0734506,12.625765
46380,PORDENONE,AZZANO DECIMO,Superior,Ca  Marsure,,,-,FAGNIGOLA,Via Chiesa Antica,6,33082,+39 0434 649165,+39 335 7049558,+39 0434 648152,info@camarsure.com,http://www.camarsure.com,3,6,3,Mar 01 - Nov 30,Mar 01 - Nov 30,,,,,,,,45.8493357,12.6874447
72222,PORDENONE,AZZANO DECIMO,Superior,La Barchessa di  Campagnutta Elio,,Campagnutta Elio,-,CORVA,Via San Pietro in Piagno,4,33082,+39 0434 646288,+39 366 176 2464,,acampagnutta@gmail.com,http://www.bblabarchessa.it,4,8,4,"Feb 01 - Jul 31, Sep 01 - Oct 31, Dec 01 - Dec 31",Feb 01 - Jul 31,Sep 01 - Oct 31,Dec 01 - Dec 31,,,,,,45.9030795,12.6366871
49901,PORDENONE,BRUGNERA,Comfort,La Casa Rossa di Casetta Graziella,La Casa Rossa ,Casetta Graziella,BRUGNERA,-,Via Carriade,44,33070,,+39 348 0354898,+39 0434 606771,graziella_casetta@libero.it,,2,4,2,"Jan 01 - Jul 31, Aug 11 - Sep 20, Oct 01 - Dec 31",Jan 01 - Jul 31,Aug 11 - Sep 20,Oct 01 - Dec 31,,,,,,45.9214951,12.542603
2652,PORDENONE,BUDOIA,Standard,Le Glicini di Pitton Armida,Le Glicini ,Pitton Armida,-,-,Via Friuli, 19B,33070,+39 0434 653035,+39 349 5592385,,leglicini@gmail.com,https://www.facebook.com/BedandBreakfastLeGlicini,2,3,1,Mar 08 - Dec 08,Mar 08 - Dec 08,,,,,,,,46.0484486,12.5359762
58760,PORDENONE,BUDOIA,Standard,Residence Maria di Menezes Maria Iracema Silva,,Iracema Silva,-,-,Via Pordenone,31,33070,+39 0434 653480,+39 334 8477122,,tommaso.rosatella@gmail.com,http://www.mariabedandbreakfast.it,3,6,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,46.0273209,12.5593386
68341,PORDENONE,CANEVA,Superior,"B&B ""la Mola "" di Posocco Stefania","B&B ""la Mola "" ",Posocco Stefania,-,STEVENA ,Via dei Figherat,9,33070,,+39 391 7115455,,info@lamolacaneva.it,http://www.lamolacaneva.it,4,8,4,"Jun 28 - Nov 03, Nov 20 - Dec 31",Jun 28 - Nov 03,Nov 20 - Dec 31,,,,,,,45.968671,12.4308827
68340,PORDENONE,CANEVA,Comfort,Villa Carli di Dall Osta Graziella,,Osta Graziella,-,STEVENA ,Piazza del Carmine, 6/A,33070,,+39 331 1143121,,,,2,4,2,"May 20 - Oct 20, Dec 01 - Dec 31",May 20 - Oct 20,Dec 01 - Dec 31,,,,,,,45.9671664,12.4338554
51681,PORDENONE,CASARSA DELLA DELIZIA,Superior,Aganis di Pilosio Ester Maria,,Ester Maria,CASARSA DELLA DELIZIA,-,Via Manaras,12,33072,+39 0434 870931,+39 334 3589030,,ester.pilosio@libero.it,,1,3,1,"Jan 01 - Jan 14, Mar 16 - Nov 14, Dec 16 - Dec 31",Jan 01 - Jan 14,Mar 16 - Nov 14,Dec 16 - Dec 31,,,,,,45.961165,12.8353142
47580,PORDENONE,CASTELNOVO DEL FRIULI,-,B&B Valli Pordenonesi Idi Trevisanutto Donatello,B&B Valli Pordenonesi I,Trevisanutto Donatello,ALMADIS,-,Località Almadis,17,33090,+39 0427 97515,+39 335 7170808,,donatello.trevisanutto@gmail.com,http://www.bedfriuli.it,2,6,1,"Jan 01 - Jan 08, Apr 01 - Sep 15, Dec 20 - Dec 31",Jan 01 - Jan 08,Apr 01 - Sep 15,Dec 20 - Dec 31,,,,,,46.2097297,12.898187
42320,PORDENONE,CAVASSO NUOVO,-,Al Vecchio Pero di Castellan Enrica Maria,,Enrica Maria,CAVASSO NUOVO,-,Via Meduna,1,33092,+39 0427 778452,+39 348 4469650,+39 427778452,mariogasparini2006@libero.it,,3,6,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,46.1991551,12.779864
2493,PORDENONE,CAVASSO NUOVO,-,Casa Maraldi di Pellegrino Enrico,Casa Maraldi ,Pellegrino Enrico,-,ORGNESE,Via Spilimbergo,49,33092,,+39 335 270638  340 3125565,,annapellegrino@lycos.it,http://www.utenti.lycos.it/casamaraldi,3,6,2,Jun 01 - Oct 31,Jun 01 - Oct 31,,,,,,,,46.1884003,12.784255
49060,PORDENONE,CHIONS,Standard,La Cantina di Carraro Gianni,La Cantina ,Carraro Gianni,CHIONS,VILLOTTA,Via Villalta, 33/B,33083,+39 349 6278838,+39 349 6278838,,,,2,6,1,Jan 01 - Nov 30,Jan 01 - Nov 30,,,,,,,,45.853761,12.7414345
33380,PORDENONE,CHIONS,-,B&B Villa Sbrojavacca di Sbrojavacca Carlo,B&B Villa Sbrojavacca ,Sbrojavacca Carlo,VILLOTTA DI CHIONS,VILLOTTA,Via Dante,23,33083,,+39 346 0396661,,bbvilla@artinelbosco.org,http://www.artinelbosco.org\b&bvilla,3,6,3,Mar 21 - Dec 09,Mar 21 - Dec 09,,,,,,,,,
36961,PORDENONE,CORDENONS,Superior,Kip  di Manzato Rebecca,Kip  ,Manzato Rebecca,-,-,Via delle Acque,23,33084,+39 0434 41476,+39 333 2008771,+39 0434 41476,info@bbkip.com,http://www.bbkip.com,3,6,3,"Jan 01 - Jan 11, Jan 16 - Apr 12, Apr 17 - Jul 05, Jul 11 - Oct 11, Oct 16 - Dec 31",Jan 01 - Jan 11,Jan 16 - Apr 12,Apr 17 - Jul 05,Jul 11 - Oct 11,Oct 16 - Dec 31,,,,45.973523,12.6873887
64624,PORDENONE,ERTO E CASSO,Standard,B&B Rosina Angelo Paolo,,Angelo Paolo,-,-,Via Prada,6,33080,,+39 329 0506340,,autotrasportirosina@pec.it,,1,4,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
61801,PORDENONE,FANNA,Standard,B&B Castellani di Mion Matteo,B&B Castellani ,Mion Matteo,-,-,Via Castellani,38,33092,,+39 333 1070799,,bb.castellani@gmail.com,http://www.bedbreakfast-castellani.it,2,4,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,46.1840696,12.7441593
45920,PORDENONE,FIUME VENETO,Standard,B & B Ca  Jole di  Goz Silvia,,Goz Silvia,PRATURLONE,PRATURLONE,Via Fratte di Praturlone,56,33080,+39 0434 959871,+39 331 2998960,+39 0434 936234,bbjole@libero.it,http://www.bbjole.it,3,5,3,"Jan 01 - Jan 13, Mar 01 - Aug 11, Sep 01 - Dec 31",Jan 01 - Jan 13,Mar 01 - Aug 11,Sep 01 - Dec 31,,,,,,45.9041485,12.7282979
71840,PORDENONE,FONTANAFREDDA,Comfort,La Fonte di Tandura Alessandra,La Fonte ,Tandura Alessandra,NAVE,-,Via Liruti,108,33074,,+39 335 6637851,+39  320 6395676,,,,4,8,,,,,,,,,,,
62560,PORDENONE,FONTANAFREDDA,Comfort,Villa Bedin di De Lucchi Clara,,Lucchi Clara,-,-,Via Ledrania,10,33074,,+39 3333705289,,claradelucchi@gmail.com,,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
69580,PORDENONE,FRISANCO,Standard,B&B In Fattoria di Simonetto Giulia,B&B In Fattoria ,Simonetto Giulia,FRISANCO,-,Borgo Polazza,,33080,+39 347 5286854,,,fattoriadimonte@gmail.com,,1,3,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,46.2017553,12.7184982
37160,PORDENONE,FRISANCO,-,Villa Spluma di Pes Sabrina,Villa Spluma ,Pes Sabrina,-,POFFABRO,Via Roman,9,33080,+39 0427 78281,+39 338 8316910,,sabri.pes@tiscali.it,,2,5,1,"Apr 20 - May 02, May 19 - Jun 18, Jun 29 - Sep 17",Apr 20 - May 02,May 19 - Jun 18,Jun 29 - Sep 17,,,,,,46.217861,12.7089526
2486,PORDENONE,FRISANCO,-,Voul di Rosa Brustolo Gianna,,Brustolo Gianna,-,POFFABRO,Via Voul, 10/3,33080,,+39 349 5109420,,,,2,4,1,Jul 01 - Sep 30,Jul 01 - Sep 30,,,,,,,,46.2174499,12.7078738
2596,PORDENONE,MEDUNO,-,B&B Alla Stazione di Del Bianco Arigo,,Bianco Arigo,-,CIAGO,Via della Stazione,39,33092,+39 0427 86548,+39 333 3989016,+39 0427 86548,delbiancoarigo@gmail.com,,2,6,2,"Mar 17 - May 21, May 27 - Jul 19, Jul 24 - Oct 02, Oct 07 - Dec 26",Mar 17 - May 21,May 27 - Jul 19,Jul 24 - Oct 02,Oct 07 - Dec 26,,,,,46.2043724,12.8014309
41880,PORDENONE,MEDUNO,-,La Piccola Venezia di Meneghin Paola,La Piccola Venezia ,Meneghin Paola,-,-,Via Mizzeri,27,33093,,+39 347 3904459,,,http://www.friuli.net/paolameneghin,2,4,2,"Jan 15 - Mar 15, Apr 01 - May 31, Jun 15 - Aug 30, Sep 15 - Dec 31",Jan 15 - Mar 15,Apr 01 - May 31,Jun 15 - Aug 30,Sep 15 - Dec 31,,,,,46.2157785,12.7984358
69421,PORDENONE,PASIANO DI PORDENONE,Comfort,La Casa di Lucia di Parcianello Lucia,La Casa di Lucia ,Parcianello Lucia,-,-,Via Brozzette di Pozzo,9,33087,+39 335 303178,,,,,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.8429979,12.6153003
2611,PORDENONE,PINZANO AL TAGLIAMENTO,Standard,Alice di Mingolo Ombretta,Alice ,Mingolo Ombretta,-,-,Via Circonvallazione,19,33094,+39 0432 950647,+39 333 3659335,,,,2,4,1,"Jan 01 - Jan 30, Mar 01 - Apr 30, Jun 01 - Sep 30, Dec 01 - Dec 31",Jan 01 - Jan 30,Mar 01 - Apr 30,Jun 01 - Sep 30,Dec 01 - Dec 31,,,,,46.1820946,12.9472413
38080,PORDENONE,PINZANO AL TAGLIAMENTO,-,B&B Le Muse di Pellegrini Ivo,B&B Le Muse ,Pellegrini Ivo,-,VALERIANO,via Roma,65,33094,+39 0432 950706,+39 392 0353980,,info@sinergypn.com,,2,6,2,Sep 22 - Oct 31,Sep 22 - Oct 31,,,,,,,,46.1729874,12.9262675
