codice esercizio,COMUNE,name,operator,INDIRIZZO 1,INDIRIZZO 2,phone,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,oh,lat,lng
38620,GORIZIA,Flumen,Katja Klanjscek,Via Brigata Cuneo,20,+39 0481 391877;+39 347 1289944,+39 0481 391877,info@bbflumen.it,http://www.bbflumen.it,3,8,"Jan 01 - Jan 09, Jan 21 - Jan 29, Feb 04 - Feb 26, Mar 04 - Jul 29, Aug 05 - Dec 11, Dec 16 - Dec 31",45.9500345,13.6034792
42441,GORIZIA,B&B Lucia,Nanut Paolo,Via del San Michele, 300/D,+39 0481 522963;+39 340 3955606,,paolo.nanut@libero.it,,3,6,"Jan 01 - Feb 17, Feb 23 - Dec 31",45.9283705,13.6053341
48960,GRADISCA DISONZO,La Fortezza,Pugliese Assunta,Viale Trieste,27,+39 0481 483236;+39 338 6227497,,assita46@libero.it,,1,2,"Jan 03 - Jan 15, Feb 01 - Sep 30, Nov 01 - Dec 31",45.8874103,13.5005061
64603,GRADO,Al Bon Vento,Galante Brian,Via Cittanova,17,+39 333 1070983,,albonvento@gmail.com,,3,6,Mar 21 - Oct 21,45.7210677,13.5222983
33400,GRADO,Alle Conchiglie,Benolich Maria,Via Isonzo Vecchio,21,+39 0431 88157;+39 339 5393515,+39 0431 88157,,,2,3,Apr 01 - Oct 31,45.7207793,13.5058199
69100,GRADO,Casa di Mirea,Carmine Gianni,Via del Tintoretto,13,+39 339 4326013,,,,4,7,Jan 01 - Dec 31,45.679793,13.3846212
72221,GRADO,Al Sol Levante,Zeper Nereo,Via Verteneglio,7,+39 0431 88169,,nereozeper@gmail.com,,2,5,Jan 01 - Dec 31,45.729263,13.5284802
67221,MEDEA,Bed & Breakfast East Wind,Armone Patrizia,Via Scuole,5,+39 339 4884613,,,,2,4,"Mar 15 - Aug 30, Oct 01 - Dec 31",45.9168088,13.4251084
54700,MONFALCONE,,,Via Sorgente,6,+39 348 9217017,+39 0,argiro.silvio@libero.it,,3,5,Jan 01 - Dec 31,,
63841,MONFALCONE,,,Viale San Marco,60,+39 320 4385525,,b&b@angelorossi.it,,2,3,Jan 01 - Dec 31,45.8065649,13.5347426
72300,MONFALCONE,B & B Il Ciliegio,Piazza Laura,Via Aulo Manlio,41,+39 340 8320555,,,,2,2,Jan 01 - Dec 31,45.8008939,13.5267525
49961,MONFALCONE,B & B da Leo,Marchione Christian,Via San Nicolò, 11 P.I^,+39 0481 095770;+39 373 8684850,+39 0481 1990230,christian.marchione@libero.it,http://www.bbdaleo.it,2,3,Feb 01 - Nov 30,,
52800,MONFALCONE,L Ormeggio,Favretto Laura,Via San Gabriele,2,+39 320 8538875,,bandb.lormeggio2013@tiscali.it,,4,7,"Jan 01 - Feb 15, Mar 01 - May 10, May 20 - Jul 31, Aug 01 - Nov 15, Dec 04 - Dec 31",45.7973268,13.5313572
54000,MONFALCONE,La Casa Piccola,Maggiore Maurizio,Via Trieste,128,+39 0481 484210;+39 348 2700815,,lacasapiccola@libero.it,,2,3,Jan 01 - Dec 31,45.8067241,13.5141008
55780,RONCHI DEI LEGIONARI,B&B Borgo San Vito,Deiuri Ivana,Via San Vito,8,+39 340 2882561;+39 340 2882561,,info.borgosanvito@gmail.com,http://www.borgosanvito.it,1,2,Jan 01 - Dec 31,45.8199173,13.5001021
57720,RONCHI DEI LEGIONARI,,Beltrame Alessio,Via Monte Cosich,62,+39 334 6060890,,eziodona@gmail.com,,1,2,Jan 01 - Dec 31,45.8241084,13.5194679
57700,RONCHI DEI LEGIONARI,,,Via delle Loare,9,+39 0039 347 8950101,,taniapetroni89@gmail.com,,1,2,Apr 01 - Dec 31,45.8302605,13.4954677
44000,RONCHI DEI LEGIONARI,Villa Anita,Marizza Paolo,Piazza San Tommaso, 10/B,+39 0481 475244,,anita@villanita-guesthouse.it,http://www.villanita-guesthouse.it,2,4,"Apr 01 - Sep 30, Oct 15 - Dec 31",45.8371597,13.4856157
48920,SAGRADO,B & B S. Martino,Fegino Renato,Via Piantella,3,+39 335 7866921,,renatofegino@alice.it,,2,4,"Jan 01 - Jan 15, Mar 01 - Oct 15, Dec 15 - Dec 31",45.8741117,13.5331416
61060,SAGRADO,,Cicutto Eduardo,Via Dante Alighieri,33,+39 380 6916345,,cicutto3000@gmsil.com,,2,4,Jan 01 - Dec 31,45.8756351,13.4849505
64920,SAGRADO,La Fojarola,Leghissa Giada,Via Vicenza,23,+39 0481 969812;+39 339 1547412,,giadaleghissa@yahoo.it,,3,6,Jan 01 - Dec 31,45.8745855,13.5330084
63481,SAN PIER DISONZO,Happy Family,Lai Flavia,Via San Zanut,80,+39 329 8583786,,,,4,6,Jan 01 - Dec 31,45.8338082,13.4670667
48040,STARANZANO,Trova Tempo,Stefanetto Lorenza,Via Grappeta,28,+39 338 630 5572,+39 0481 483116,lorenzastefanetto@gmail.com,,1,1,"Jan 01 - Jan 06, Jan 22 - Sep 07, Sep 22 - Dec 31",45.7625892,13.5163845
46740,TURRIACO,,Tosorat Graziella,Via San Francesco dAssisi,5,+39 0481 470364;+39 345 413 7231,+39 0481 470364,info@bbisonzo.it,http://www.bbisonzo.it,4,8,"Jan 01 - Jan 08, Mar 01 - Nov 06, Nov 26 - Dec 31",45.8206515,13.4504347
54200,TURRIACO,B & B La Casetta,Bergamasco Tiziano,Via San Francesco dAssisi,7,+39 342 1952099,,info.bblacasetta@gmail.com,,1,6,Jun 10 - Dec 31,45.8206515,13.4504347
40620,TURRIACO,Casa Paschi,Chittaro Caterina,Via Marcon,37,+39 0481 767276;+39 347 4612447,,casapaschi@libero.it,http://www.casapaschi.it,3,8,Feb 01 - Nov 30,,
54980,VILLESSE,Da Marina,Marizza Marina,via Roma,7,+39 320 5340930,,MARIZZAMARINA@PEC.IT,,2,6,Jan 01 - Dec 31,45.8597024,13.4379228
39640,AVIANO,Casa Piazza,Bonomi Alessandra,Via padre Marco,10,+39 331 3002725,+39 0434 651158,bbcasapiazza@live.it,http://www.bbcasapiazza.it,3,5,"Jan 01 - Jan 06, Jan 16 - Apr 01, Apr 10 - Oct 07, Oct 17 - Dec 31",46.0699922,12.5885194
53660,AVIANO,Al Ridovan,Biasutti Gianluigi,Via Wassermann,38,+39 348 0341121  e 349 7107990,,info@bbalridovan.it,http://www.bbalridovan.it,3,7,"Jan 01 - May 14, Jun 01 - Nov 14, Dec 01 - Dec 31",46.0734506,12.625765
46380,AZZANO DECIMO,,,Via Chiesa Antica,6,+39 0434 649165;+39 335 7049558,+39 0434 648152,info@camarsure.com,http://www.camarsure.com,3,6,Mar 01 - Nov 30,45.8486582,12.6882548
72222,AZZANO DECIMO,,Campagnutta Elio,Via San Pietro in Piagno,4,+39 0434 646288;+39 366 176 2464,,acampagnutta@gmail.com,http://www.bblabarchessa.it,4,8,"Feb 01 - Jul 31, Sep 01 - Oct 31, Dec 01 - Dec 31",45.9163731,12.6544023
49901,BRUGNERA,La Casa Rossa,Casetta Graziella,Via Carriade,44,+39 348 0354898,+39 0434 606771,graziella_casetta@libero.it,,2,4,"Jan 01 - Jul 31, Aug 11 - Sep 20, Oct 01 - Dec 31",45.9257265,12.546335
2652,BUDOIA,Le Glicini,Pitton Armida,Via Friuli, 19B,+39 0434 653035;+39 349 5592385,,leglicini@gmail.com,https://www.facebook.com/BedandBreakfastLeGlicini,2,3,Mar 08 - Dec 08,46.0484486,12.5359762
58760,BUDOIA,,Iracema Silva,Via Pordenone,31,+39 0434 653480;+39 334 8477122,,tommaso.rosatella@gmail.com,http://www.mariabedandbreakfast.it,3,6,Jan 01 - Dec 31,46.040817,12.53964
68341,CANEVA,"B&B ""la Mola """,Posocco Stefania,Via dei Figherat,9,+39 391 7115455,,info@lamolacaneva.it,http://www.lamolacaneva.it,4,8,"Jun 28 - Nov 03, Nov 20 - Dec 31",45.9683234,12.4307577
68340,CANEVA,,Osta Graziella,Piazza del Carmine, 6/A,+39 331 1143121,,,,2,4,"May 20 - Oct 20, Dec 01 - Dec 31",45.9677007,12.4339006
47580,CASTELNOVO DEL FRIULI,B&B Valli Pordenonesi I,Trevisanutto Donatello,Località Almadis,17,+39 0427 97515;+39 335 7170808,,donatello.trevisanutto@gmail.com,http://www.bedfriuli.it,2,6,"Jan 01 - Jan 08, Apr 01 - Sep 15, Dec 20 - Dec 31",46.2092928,12.897066
33380,CHIONS,B&B Villa Sbrojavacca,Sbrojavacca Carlo,Via Dante,23,+39 346 0396661,,bbvilla@artinelbosco.org,http://www.artinelbosco.org\b&bvilla,3,6,Mar 21 - Dec 09,,
36961,CORDENONS,Kip,Manzato Rebecca,Via delle Acque,23,+39 0434 41476;+39 333 2008771,+39 0434 41476,info@bbkip.com,http://www.bbkip.com,3,6,"Jan 01 - Jan 11, Jan 16 - Apr 12, Apr 17 - Jul 05, Jul 11 - Oct 11, Oct 16 - Dec 31",45.9729193,12.6880949
64624,ERTO E CASSO,,Angelo Paolo,Via Prada,6,+39 329 0506340,,autotrasportirosina@pec.it,,1,4,Jan 01 - Dec 31,,
61801,FANNA,B&B Castellani,Mion Matteo,Via Castellani,38,+39 333 1070799,,bb.castellani@gmail.com,http://www.bedbreakfast-castellani.it,2,4,Jan 01 - Dec 31,46.1856604,12.7482306
62560,FONTANAFREDDA,,Lucchi Clara,Via Ledrania,10,+39 3333705289,,claradelucchi@gmail.com,,2,4,Jan 01 - Dec 31,,
69580,FRISANCO,B&B In Fattoria,Simonetto Giulia,Borgo Polazza,,+39 347 5286854,,fattoriadimonte@gmail.com,,1,3,Jan 01 - Dec 31,46.2017553,12.7184982
37160,FRISANCO,Villa Spluma,Pes Sabrina,Via Roman,9,+39 0427 78281;+39 338 8316910,,sabri.pes@tiscali.it,,2,5,"Apr 20 - May 02, May 19 - Jun 18, Jun 29 - Sep 17",46.2178529,12.7096072
2486,FRISANCO,,Brustolo Gianna,Via Voul, 10/3,+39 349 5109420,,,,2,4,Jul 01 - Sep 30,46.2175005,12.7080188
2596,MEDUNO,,Bianco Arigo,Via della Stazione,39,+39 0427 86548;+39 333 3989016,+39 0427 86548,delbiancoarigo@gmail.com,,2,6,"Mar 17 - May 21, May 27 - Jul 19, Jul 24 - Oct 02, Oct 07 - Dec 26",46.2028817,12.802195
41880,MEDUNO,La Piccola Venezia,Meneghin Paola,Via Mizzeri,27,+39 347 3904459,,,http://www.friuli.net/paolameneghin,2,4,"Jan 15 - Mar 15, Apr 01 - May 31, Jun 15 - Aug 30, Sep 15 - Dec 31",46.2156469,12.7986244
69421,PASIANO DI PORDENONE,La Casa di Lucia,Parcianello Lucia,Via Brozzette di Pozzo,9,+39 335 303178,,,,2,4,Jan 01 - Dec 31,45.8429979,12.6153003
2611,PINZANO AL TAGLIAMENTO,Alice,Mingolo Ombretta,Via Circonvallazione,19,+39 0432 950647;+39 333 3659335,,,,2,4,"Jan 01 - Jan 30, Mar 01 - Apr 30, Jun 01 - Sep 30, Dec 01 - Dec 31",46.1817766,12.9465751
38080,PINZANO AL TAGLIAMENTO,B&B Le Muse,Pellegrini Ivo,via Roma,65,+39 0432 950706;+39 392 0353980,,info@sinergypn.com,,2,6,Sep 22 - Oct 31,46.1677239,12.9219007
47860,POLCENIGO,B&B Gorgazzo,Celant Vanda,Via Giuliana,32,+39 0434 748959;+39 348 9195794,,bbgorgazzo@gmail.com,,2,4,Feb 01 - Dec 31,46.0382731,12.4952738
35120,POLCENIGO,Lucia,Ivan Lucia,Via Nuova,5,+39 339 7304898,,lucia.ivan23@gmail.com,,2,4,"Mar 01 - Jun 30, Jul 10 - Sep 15, Oct 01 - Dec 30",46.026802,12.5121215
2541,POLCENIGO,Palazzo Scolari,Salice Anna,Via Gorgazzo,2,+39 0434 74100;+39 320 0726080,,palazzo.scolari@gmail.com,http://www.palazzoscolari.it,3,7,"Jan 01 - Jan 07, Mar 28 - Nov 04, Dec 20 - Dec 31",46.0310884,12.5019455
63440,PORCIA,Ca Del Cuore,Pasut Franca,Via Muzzile,68,+39 3473737207,,,,2,4,Jan 01 - Dec 31,45.9545027,12.6240507
51400,PORCIA,,,Via Piave,2,+39 0434 082243;+39 3471045306,,il.tubia.bb@gmail.com,http://www.iltubia.wordpress.com,2,4,Mar 01 - Nov 30,45.9575248,12.6302931
52860,PORDENONE,,Mary Anne,Via Adamello, 7/B,+39 347 5451283 / 338 4686658,,casadimary@gmail.com,http://www.casadimary.it,2,4,"Jan 01 - Feb 10, Mar 03 - Dec 31",45.9749098,12.6778578
64540,PORDENONE,,,Via Nuova di Corva,87,+39 388 7888628,,info@lavalada.it,http://www.lavalada.it,2,4,"Jan 01 - Jan 03, Mar 03 - Dec 31",45.9442155,12.6641059
61760,PORDENONE,,Maria Elena,Via Brugnera,15,+39 0434 578114;+39 334 3323156,,marilena.klugmann@gmail.com,http://www.bbnaon.com,2,3,Jan 01 - Dec 31,45.9280834,12.6412474
65480,PORDENONE,,,Via Beata Domicilla,17,+39 347 4080072,,santosh_sadeha@yahoo.it,,3,4,"Jan 10 - Jul 03, Jul 11 - Dec 30",45.9606047,12.6692051
58960,PORDENONE,,Maria Lisa,Via delle Campanelle,6,"+39 3,93505E+11;+39 3,93505E+11","+39 3,91782E+11",info@ilcampanile.eu,http://www.ilcampanile.eu,2,4,Jan 01 - Dec 31,,
68500,PORDENONE,B & B Airis,Falomo Enrico,Corso Giuseppe Garibaldi,48,+39 333 6695585,,daria.moro22@gmail.com,,3,5,"Jan 07 - Jun 14, Aug 25 - Dec 21",45.9608495,12.6564468
48381,PORDENONE,Casa Ai Gelsomini,Tius Silvano,Via Molinari,14,+39 347 3044566,,lovisan@libero.it,http://casaaigelsomini.it,1,2,Feb 15 - Nov 14,45.9630823,12.6602957
49380,PORDENONE,Donna Prassede,Zanatta Prassede,Via Genova Cavalleria,19,+39 0434 362150;+39 328  1720088,,prassede27@libero.it,,2,3,Feb 15 - Nov 30,,
48360,PORDENONE,,Re Enrichetta,Via Montereale,45,+39 0434 366288;+39 347 9142498,+39 0434 366288,info@giardinoincitta.it,http://www.giardinoincitta.it,3,6,"Jan 17 - Aug 12, Aug 27 - Dec 31",45.9695247,12.6510119
52180,PORDENONE,Girasole,Rosset Tiziana,Via della Resistenza,10,+39 349 2192209,+39 0434 361923,bbpordenone@gmail.com,,3,7,Mar 01 - Dec 31,45.9694273,12.6466165
50302,PORDENONE,La Gila,Guarini Roberto,Via Montereale,22,+39 329 9264965,,info@bblagila.it,http://www.bblagila.it,3,6,"Jan 01 - Jan 09, Feb 11 - Jul 31, Aug 31 - Nov 14, Dec 16 - Dec 31",45.9664013,12.6533631
34740,PORDENONE,Camera Doppia,Caiazzo Giusy,Via Montebelluna,16,+39 392 9800975,,info@cameradoppia.it,,3,6,"Jan 08 - Aug 05, Sep 05 - Dec 23",45.9296191,12.6420616
44481,PORDENONE,,Pauletto Natalia,Via Eraclea,17,+39 335 6791330,,info@bbcivico22.it,http://www.bbcivico22.it,3,6,"Feb 01 - Jul 31, Sep 01 - Dec 31",45.9648599,12.6603852
40584,PORDENONE,E.B. Camere In Villa,Martin Bruno,Via San Quirino,60,+39 0434 364305,,bedandbreakfast-pn@hotmail.it,,3,6,"Jan 01 - Sep 30, Nov 01 - Dec 31",45.9715949,12.6543458
40582,PORDENONE,Il Vicolo Camere In Villa,Martin Matteo,Via Roggiuzzole,5,+39 345 6089089,,bedandbreakfast-pn@hotmail.it,,1,2,"Jan 01 - Sep 30, Nov 01 - Dec 31",45.965842,12.655931
40583,PORDENONE,,Gian Maria,Via Roggiuzzole,5,+39 348 3001827,,bedandbreakfast-pn@hotmail.it,,2,4,"Jan 01 - Sep 30, Nov 01 - Dec 31",45.965842,12.655931
56800,SACILE,Casa Carrer,Carrer Gilberto,Strada Valle Brugnera,7,+39 0434 767927,,info@casacarrer.it,,4,8,"Feb 04 - Feb 17, Mar 11 - Nov 07, Dec 07 - Dec 31",45.91567,12.52503
35280,SACILE,Ca Livenza,Vicenzot Carla,Via Ronche,72,+39 0434 734853;+39 338 5032213  333 3127116,,calivenza@libero.it,http://www.calivenza.it,3,6,"Jan 01 - Jan 03, Jan 11 - Mar 14, Mar 19 - Oct 03, Oct 08 - Dec 31",45.96948,12.48874
64520,SAN GIORGIO DELLA RICHINVELDA,,Borgo Leone,Via Borgo Leone, 35/1,+39 3404963701;+39 3404963701,+39 0427 94663,dbgiovanni@hotmail.it,,2,4,"Mar 01 - Sep 21, Oct 21 - Dec 21",46.0199094,12.8271188
69620,SAN QUIRINO,Ai Templari,Rosset Ivana,Via dei Templari,16,+39 0434 366464;+39 347 5830514,,info@aitemplari.com,,1,2,Jan 01 - Dec 31,45.9999489,12.65623
52380,SAN QUIRINO,Podere 35,Arca Graziella,Via Pola,2,+39 0434 919470;+39 334 7352045,,regra1@virgilio.it,,1,2,Feb 12 - Nov 09,46.0265492,12.6441021
66680,SAN VITO AL TAGLIAMENTO,Chiaro di Luna,Trevisan Alessandro,Località Santa Sabina,10,+39 338 8531926  334 2615271,,info.bebchiarodiluna@gmail.com,,3,4,"Jan 01 - Jun 30, Sep 01 - Dec 31",45.8941312,12.8857506
66841,SEQUALS,Bed And Breakfast da Paolo,Zara Paolo,Via del Capitel,4,+39 042 793587,,sassodoto@pec.coldiretti.it,,2,4,Jan 01 - Dec 31,46.1774149,12.8165757
59040,SESTO AL REGHENA,Allaolla,Nonis Misha,Via Monte Santo, 40B,+39 0039 3289778321,,info@allaolla.it,http://www.allaolla.it,1,6,Jan 08 - Dec 06,45.866808,12.8601706
33022,SESTO AL REGHENA,Vignal,Scacco Roberta,Via Mielma,51,+39 328 4067691,,info@vignal.it,http://www.vignal.it,3,6,"Jan 04 - Feb 09, Feb 14 - Jul 31, Aug 25 - Dec 22",45.8665097,12.8423017
63061,SPILIMBERGO,Cuore di Lavanda,Micheli Stefania,Via Damiano Chiesa,6,+39 392 2115603,,cuoredilavanda@gmail.com,http://www.cuoredilavanda.it,3,6,"Jan 01 - Jan 03, Feb 24 - Mar 06, Mar 24 - Dec 31",46.1425815,12.90569
40621,SPILIMBERGO,,Marchi Patrizia,Corso Roma,28,+39 339 2697717,,info@relaislatorre.com,http://www.relaislatorre.com,3,8,"Jan 01 - Jan 09, Jan 20 - Jan 24, Jan 30 - Feb 14, Feb 22 - Mar 02, Mar 12 - Mar 23, Mar 30 - Sep 19, Sep 28 - Oct 15",46.1112804,12.8999967
45120,SPILIMBERGO,,,Vicolo Stretto,1,+39 0427 950970;+39 339 1449410,,borgomora@borgodalamora.it,http://www.borgodalamora.it,1,3,Apr 01 - Dec 31,46.1062579,12.8635246
2397,TRAVESIO,I Girasoli,Ballarin Tamara,Via Garibaldi,22,+39 0427 90493;+39 334 3180668,+39 0427 90493,info@igirasoli.org,http://www.igirasoli.org,3,8,"Jan 01 - Jan 07, Mar 23 - Dec 31",,
66881,VALVASONE ARZENE,B & B Maiaroff,Truant Adriano,Via Maiaroff,21,+39 0434 898844;+39 337 545771,,adrianotruant@gmail.com,,2,6,Feb 01 - Sep 30,45.9941104,12.8522453
66880,VALVASONE ARZENE,Casa Menini B&B,Menini Umberto,Via Cesare Battisti,4,+39 0434 89021;+39 340 5993136,+39 0434 899970,info@casamenini.it,http://www.casamenini.it,3,8,Apr 01 - Dec 31,,
50361,VALVASONE ARZENE,Giardino In Corte,Stoinoff Sofia,Via Bando,2,+39 3385899420,,bbgiardinoincorte@gmail.com,http://www.bbgiardinoincorte.com,4,7,Apr 21 - Sep 30,45.9998871,12.8616255
35920,VALVASONE ARZENE,La Contrada,Paron Aldo,Vicolo monte Santo,1,+39 0434 89142;+39 339 3763747,,aldovalv@alice.it,,3,6,Mar 01 - Nov 30,45.996442,12.8615402
2479,VALVASONE ARZENE,Rovere Dalla Riva,Rovere Ivano,Via Alpi,30,+39 0434 899401;+39 338 8003666,+39 0434 899401,,,3,6,"Jan 01 - Jan 06, Apr 01 - Dec 31",46.0009198,12.8471355
35460,VIVARO,All Alba Dei Magredi,Trevisanutto Gelindo,Via Spilimbergo,2,+39 335 7170805,+39 0427 97515,gelindo.gelindo@libero.it,,2,6,"Jan 01 - Jan 30, Mar 01 - Apr 30, Jun 01 - Sep 30, Oct 01 - Dec 31",46.0861572,12.7901825
41360,VIVARO,Bepu Pegna,Trevisanutto Chiara,Via Vittorio Emanuele,64,+39 335 7170807,,chiara.trevisanutto@gmail.com,,1,2,"Jan 01 - Jan 07, Apr 01 - Apr 30, Jul 01 - Aug 30, Sep 01 - Sep 30, Oct 01 - Nov 09, Dec 15 - Dec 31",46.0740621,12.779446764749
67483,ZOPPOLA,,Vecchio Glicine,Via Saciletti,17,+39 338 2293551,,orianafavretti@alice.it,,2,5,Jan 01 - Dec 31,45.9677887,12.7650187
42902,Duino Aurisina,Castello,Lanz Veronique,Via Duino, 35/A,+39 040 208120,+39 040 2071398,visite@castellodiduino.it,,2,5,Mar 01 - Nov 24,,
50120,Duino Aurisina,Duino Stella Maris,Valenti Alba,Via Duino, 78/D,+39 347 2311979,,MIKIsub@gmail.com,http://www.duinostellamaris.it,3,5,"Jan 01 - Jan 10, Mar 05 - Nov 30, Dec 05 - Dec 31",,
50020,Duino Aurisina,Da Rosy,Mrvcic Nicholas,Via Sistiana, 59/L,+39 333 3458435;+39 333 3458435,+39 040 299176,darosybb@gmail.com,http://www.darosy.it,4,8,"Jan 01 - Jan 13, Jan 18 - Dec 31",,
47340,Duino Aurisina,Le Falesie,Bosio Chiara,Via Sistiana, 29/A,+39 380 7023047,,bb@lefalesie.it,http://www.lefalesie.it,2,4,Jan 01 - Dec 31,,
41900,Duino Aurisina,Oltremare,Jerman Walter,Via Sistiana, 34/E,+39 338 9378246,,info@oltremaresistiana.it,http://www.oltremaresistiana.it,3,6,"Jan 01 - Nov 01, Dec 01 - Dec 31",,
40820,Duino Aurisina,Pane E Tulipani,Tavcar Goran,Via Duino, 75/Z,+39 329 7213197,,pantulipani@gmail.com,http://www.pantulipani.splinder.com,3,6,"Mar 01 - Mar 30, May 01 - May 30, Jun 01 - Jun 30, Jul 01 - Jul 31, Aug 01 - Aug 30, Sep 01 - Oct 30",,
52460,Duino Aurisina,Porto Del Bivio,Marchesich Federica,Via Duino, 75/V,+39 339 2864170,,FEDERICA.MARCHESICH65@gmail.com,,2,4,Mar 21 - Dec 31,,
40821,Duino Aurisina,Strupetou,Bernasconi Paola,Via Chialina,16,+39 040 2907126;+39 347 7950723,,info@strupetou.it,http://www.strupetou.it,2,6,Mar 27 - Nov 03,,
63480,MUGGIA,,Felice Maura,Località Pontario,31,+39 333 1652009,,curetanona@gmail.com,,2,5,"Apr 01 - Jul 11, Jul 25 - Dec 01",,
59800,MUGGIA,B&B Silvia,Leuz Silvia,Via San Bartolomeo, 22/F,+39 335 1247805,,silvialeuz@gmail.com,,4,8,"Jan 01 - Jan 14, Jan 23 - Oct 24, Nov 02 - Dec 31",,
63160,MUGGIA,Uphill,Milic Olivera,Salita Muggia Vecchia,4,+39 329 0634922,,milic.olivera@gmail.com,,3,7,Mar 01 - Oct 31,45.6052913,13.7640949
43882,MUGGIA,B&B Le Vele,Zuppet Serafino,Lungomare Venezia,7,+39 040 330747;+39 349 3999242,,,http://www.inognidove.com,2,5,Apr 15 - Dec 15,45.6059663,13.7635649
64440,SAN DORLIGO DELLA VALLE - DOLINA,B&B Sotto Il Volto,Zannier Ruggero,Strada della Rosandra,114,+39 3389077539;+39 3480060824,,alexiapillepich@gmail.com,,1,4,Feb 01 - Oct 30,45.6186714,13.864808
58900,SAN DORLIGO DELLA VALLE - DOLINA,B&B Torrente Rosandra,Pozzer Andrea,Vicolo Superiore,152,+39 040 8327132;+39 3661460868,,andreapozzer@hotmail.com,,2,5,"Jan 01 - Jan 11, Feb 14 - May 18, May 30 - Dec 31",,
55621,SAN DORLIGO DELLA VALLE - DOLINA,,Codaglio Michele,Strada della Rosandra,135,+39 040 281954;+39 328 1749827,,BBROSANDRA@GMAIL.COM,,1,3,"Jan 01 - Jan 15, Jan 30 - Dec 31",45.6186714,13.864808
64023,SAN DORLIGO DELLA VALLE - DOLINA,,Cavalli Cinzia,Via Franconia,388,+39 3274582281,,bbmikezejakeze@hotmail.com,http://www.bbmikezejakeze.it,2,5,Mar 01 - Dec 31,,
69060,TRIESTE,Addicted To Paradise,Elena Allegranti,Via Cellini,2,+39 339 6426799;+39 339 6426799,,eleenuccia@hotmail.it,,1,2,Nov 23 - Dec 31,,
56760,TRIESTE,,Luisa Viezzoli,Via Costalunga,69,+39 040 814668;+39 333 9491595,,luisaviezzoli@yahoo.it,,1,3,"Jan 11 - Jan 29, Feb 08 - Dec 31",45.6338028,13.7920238
